age,gender,is_bpl,disability_percentage,is_widow,breadwinner_deceased,receiving_other_pension,scheme
69,1,0,74,0,0,0,Ineligible
32,1,1,42,0,0,0,Ineligible
89,1,0,81,0,0,0,Ineligible
78,0,1,39,0,0,1,IGNOAPS
38,0,0,88,0,1,1,Ineligible
41,1,1,38,0,1,0,NFBS
20,0,0,27,0,0,0,Ineligible
39,0,1,79,0,1,0,NFBS
70,1,1,62,0,0,0,Annapurna
19,1,0,63,0,0,0,Ineligible
47,0,1,11,0,0,1,Ineligible
55,0,0,40,0,0,0,Ineligible
19,0,1,28,0,0,0,Ineligible
81,0,0,22,0,0,0,Ineligible
77,0,1,84,0,0,1,IGNDPS
38,0,1,79,0,0,0,Ineligible
50,0,1,50,0,0,0,Ineligible
75,1,1,44,1,0,0,IGNWPS
39,1,1,89,1,0,1,IGNDPS
66,1,1,21,0,0,0,Annapurna
76,0,1,9,0,0,1,IGNOAPS
59,0,1,6,0,0,0,Ineligible
77,0,0,72,0,0,0,Ineligible
32,0,1,88,0,0,1,IGNDPS
79,0,1,14,0,0,1,IGNOAPS
79,1,1,76,0,0,0,Annapurna
64,1,1,45,1,1,0,IGNWPS
79,1,0,89,1,0,1,Ineligible
68,0,1,84,0,0,0,IGNDPS
72,1,0,86,0,0,0,Ineligible
81,0,0,60,0,0,0,Ineligible
20,0,0,91,0,1,0,Ineligible
68,0,1,60,0,0,1,IGNOAPS
24,1,0,50,0,0,0,Ineligible
38,1,0,37,0,0,0,Ineligible
56,0,1,11,0,0,0,Ineligible
35,1,0,87,1,0,1,Ineligible
21,1,0,76,0,0,1,Ineligible
77,0,0,65,0,0,1,Ineligible
31,0,0,53,0,0,0,Ineligible
26,0,1,38,0,0,0,Ineligible
70,1,0,75,0,0,1,Ineligible
19,0,1,38,0,0,1,Ineligible
77,1,1,77,0,0,1,IGNOAPS
88,0,0,29,0,0,0,Ineligible
61,1,0,47,0,0,0,Ineligible
25,0,1,82,0,0,1,IGNDPS
64,1,1,30,0,0,0,IGNOAPS
52,1,0,24,1,0,0,Ineligible
53,1,0,67,0,0,0,Ineligible
67,1,1,50,1,0,0,IGNWPS
21,0,0,12,0,0,1,Ineligible
19,1,0,99,0,0,0,Ineligible
23,0,1,62,0,0,1,Ineligible
71,0,1,41,0,0,0,Annapurna
21,1,0,53,1,0,1,Ineligible
71,0,1,66,0,0,0,Annapurna
80,1,0,79,0,0,1,Ineligible
35,1,1,89,0,0,0,IGNDPS
61,0,1,55,0,0,0,IGNOAPS
51,1,1,18,0,0,0,Ineligible
79,0,1,45,0,0,1,IGNOAPS
31,0,1,14,0,0,0,Ineligible
65,0,1,31,0,0,0,Annapurna
32,1,1,48,0,0,0,Ineligible
89,1,0,20,0,1,0,Ineligible
79,1,1,64,0,0,1,IGNOAPS
57,1,1,69,1,1,0,NFBS
70,0,1,26,0,0,0,Annapurna
41,0,0,22,0,0,0,Ineligible
43,1,1,46,0,0,0,Ineligible
77,0,1,94,0,0,0,IGNDPS
58,0,1,11,0,0,0,Ineligible
46,0,1,84,0,0,0,IGNDPS
32,1,0,65,0,0,0,Ineligible
62,1,0,4,1,0,1,Ineligible
82,0,0,8,0,0,0,Ineligible
88,0,0,19,0,1,0,Ineligible
26,1,1,81,1,1,0,IGNDPS
18,1,1,62,0,1,0,NFBS
25,0,1,85,0,0,0,IGNDPS
80,1,1,71,0,0,0,Annapurna
28,0,0,97,0,0,1,Ineligible
25,0,0,72,0,0,1,Ineligible
52,1,0,70,1,1,1,Ineligible
52,1,0,29,0,0,0,Ineligible
50,0,1,81,0,0,0,IGNDPS
22,1,0,90,0,0,1,Ineligible
58,1,0,15,0,0,0,Ineligible
45,1,0,84,1,0,0,Ineligible
24,1,1,4,0,0,0,Ineligible
89,1,1,28,1,0,0,Annapurna
29,0,1,46,0,0,0,Ineligible
51,0,1,21,0,0,1,Ineligible
50,0,1,77,0,0,0,Ineligible
65,0,0,56,0,0,0,Ineligible
40,1,1,82,0,1,0,IGNDPS
79,1,1,34,0,0,0,Annapurna
